Date,Open,High,Low,Close,Volume
12/30/2022,"263.62","266.41","262.29","266.28","37,858,281"
12/29/2022,"262.96","267.41","262.25","266.44","45,893,566"
12/28/2022,"263.17","265.47","259.73","260.10","47,139,039"
12/27/2022,"266.74","266.85","263.03","263.58","38,009,008"
12/23/2022,"265.47","268.04","263.53","267.36","39,373,578"
12/22/2022,"270.38","270.51","262.46","266.76","60,278,379"
12/21/2022,"270.60","274.78","269.74","273.45","46,394,688"
12/20/2022,"268.56","271.32","266.95","269.54","51,064,199"
12/19/2022,"273.87","273.96","268.49","269.75","44,167,922"
12/16/2022,"276.20","277.77","272.61","274.25","68,300,352"
12/15/2022,"282.33","283.01","275.67","276.89","60,554,121"
12/14/2022,"288.05","291.41","283.19","286.51","64,984,434"
12/13/2022,"296.65","296.88","285.91","288.65","80,667,680"
12/12/2022,"282.22","285.64","281.16","285.58","35,732,520"
12/09/2022,"282.81","285.64","281.59","282.04","47,860,488"
12/08/2022,"281.91","284.84","279.79","283.85","42,594,910"
12/07/2022,"280.47","282.57","278.78","280.53","45,614,246"
12/06/2022,"287.48","287.62","280.26","281.68","53,937,609"
12/05/2022,"290.38","291.68","286.15","287.64","41,482,121"
12/02/2022,"288.54","293.45","288.36","292.55","53,583,168"
12/01/2022,"293.69","295.75","290.88","293.72","51,547,328"
11/30/2022,"280.84","293.47","279.97","293.36","74,718,086"
11/29/2022,"282.94","283.35","279.17","280.57","35,618,879"
11/28/2022,"284.90","286.96","281.76","282.71","38,877,047"
11/25/2022,"287.19","287.91","286.42","286.92","15,498,800"
11/23/2022,"285.97","289.46","285.79","288.82","46,389,969"
11/22/2022,"282.64","286.11","280.46","285.95","41,873,441"
11/21/2022,"283.40","284.58","281.04","281.89","40,083,527"
11/18/2022,"287.89","287.99","282.32","284.82","53,588,633"
11/17/2022,"280.88","286.32","280.72","284.81","55,462,078"
11/16/2022,"287.39","289.48","284.60","285.44","48,859,801"
11/15/2022,"292.21","293.26","285.97","289.39","73,985,367"
11/14/2022,"285.86","289.22","284.44","285.44","55,080,047"
11/11/2022,"282.56","288.64","281.19","287.96","66,961,750"
11/10/2022,"276.01","283.05","273.85","282.75","99,256,688"
11/09/2022,"267.76","268.56","263.03","263.32","64,862,129"
11/08/2022,"269.14","272.85","265.52","269.54","63,213,793"
11/07/2022,"265.75","268.14","263.57","267.59","47,333,832"
11/04/2022,"265.53","266.61","259.08","264.68","78,313,211"
11/03/2022,"263.01","264.50","260.10","260.49","70,038,898"
11/02/2022,"275.08","278.21","265.61","265.68","79,803,133"
11/01/2022,"281.50","282.07","274.74","275.11","45,895,898"
10/31/2022,"278.92","279.76","275.99","277.95","47,741,953"
10/28/2022,"272.23","281.70","272.06","281.22","62,651,312"
10/27/2022,"276.79","278.28","272.34","272.87","57,760,301"
10/26/2022,"278.46","283.98","277.43","277.93","63,898,246"
10/25/2022,"279.41","284.60","277.90","284.21","59,014,488"
10/24/2022,"275.69","279.40","271.97","278.45","63,963,566"
10/21/2022,"267.98","275.97","266.82","275.42","77,897,688"
10/20/2022,"269.58","274.84","267.92","269.11","60,605,500"
10/19/2022,"269.93","273.68","268.07","270.49","53,115,406"
10/18/2022,"276.53","277.21","268.74","271.48","69,781,000"
10/17/2022,"266.84","270.24","266.74","269.35","64,576,449"
10/14/2022,"271.20","271.81","260.14","260.74","77,244,305"
10/13/2022,"255.16","270.17","254.26","268.82","112,894,094"
10/12/2022,"263.40","265.36","261.95","262.66","50,580,180"
10/11/2022,"264.70","267.63","261.03","262.75","66,522,516"
10/10/2022,"269.30","269.70","263.64","266.41","60,392,992"
10/07/2022,"275.02","275.15","267.74","269.10","71,354,672"
10/06/2022,"280.96","284.18","279.43","279.76","53,489,406"
10/05/2022,"278.28","283.81","275.42","281.98","55,766,320"
10/04/2022,"278.99","282.85","278.99","282.13","66,696,930"
10/03/2022,"269.07","275.16","267.53","273.53","61,267,449"
09/30/2022,"271.03","275.19","267.10","267.26","78,482,383"
09/29/2022,"275.86","276.25","268.84","271.87","81,215,961"
09/28/2022,"274.46","281.25","272.95","279.94","79,652,141"
09/27/2022,"277.81","280.21","272.11","274.48","69,780,117"
09/26/2022,"275.03","279.49","273.56","274.37","71,176,688"
09/23/2022,"277.55","277.85","272.02","275.51","74,815,195"
09/22/2022,"282.00","283.03","278.82","280.07","62,757,070"
09/21/2022,"289.59","293.95","283.42","283.56","82,930,961"
09/20/2022,"288.49","291.07","286.38","288.73","51,271,121"
09/19/2022,"286.10","291.21","286.04","291.05","52,613,832"
09/16/2022,"287.72","289.72","285.62","289.32","79,920,391"
09/15/2022,"294.07","296.53","289.46","291.10","65,299,406"
09/14/2022,"294.87","296.93","293.06","296.03","54,907,199"
09/13/2022,"301.80","303.02","292.79","293.70","79,562,172"
09/12/2022,"308.50","311.08","308.18","310.74","45,905,738"
09/09/2022,"302.83","307.60","300.52","307.09","56,125,219"
09/08/2022,"296.85","301.87","295.45","300.52","55,649,820"
09/07/2022,"293.54","299.99","293.27","298.97","49,260,379"
09/06/2022,"295.66","296.60","290.87","293.05","57,005,441"
09/02/2022,"302.34","303.75","293.52","295.17","64,666,840"
09/01/2022,"296.72","299.78","292.95","299.40","57,990,754"
08/31/2022,"303.99","304.91","299.16","299.27","50,044,039"
08/30/2022,"306.10","306.73","298.44","301.02","51,184,500"
08/29/2022,"304.62","307.22","303.28","304.41","48,321,848"
08/26/2022,"320.28","321.51","307.35","307.44","69,047,742"
08/25/2022,"316.83","320.60","315.76","320.58","38,098,262"
08/24/2022,"313.61","316.87","312.99","315.01","38,057,059"
08/23/2022,"314.12","317.00","313.33","314.10","39,497,070"
08/22/2022,"318.50","318.74","313.53","314.36","51,098,887"
08/19/2022,"326.17","326.84","322.08","322.86","51,770,566"
08/18/2022,"328.44","330.49","326.79","329.28","41,937,168"
08/17/2022,"329.07","331.43","326.36","328.49","47,842,160"
08/16/2022,"332.06","334.42","329.16","332.28","41,186,859"
08/15/2022,"329.42","333.57","329.40","333.06","38,266,609"
08/12/2022,"326.18","330.59","325.10","330.39","40,928,379"
08/11/2022,"328.31","330.36","323.36","324.08","45,897,648"
08/10/2022,"324.59","326.23","322.06","325.93","51,459,559"
08/09/2022,"318.77","319.03","315.42","317.08","39,764,219"
08/08/2022,"322.69","326.47","319.21","320.71","44,066,301"
08/05/2022,"319.19","323.83","318.39","321.75","53,893,969"
08/04/2022,"322.97","324.72","320.77","324.40","38,973,660"
08/03/2022,"316.05","323.73","315.99","322.89","53,735,727"
08/02/2022,"312.92","318.55","311.84","314.33","48,676,500"
08/01/2022,"313.65","318.81","312.53","315.27","46,358,832"
07/29/2022,"311.39","316.39","309.93","315.46","57,501,039"
07/28/2022,"306.59","310.40","302.75","309.81","55,139,941"
07/27/2022,"299.04","308.54","298.46","306.81","69,304,359"
07/26/2022,"298.53","298.79","293.54","294.37","50,074,121"
07/25/2022,"302.02","302.50","298.22","300.27","40,582,379"
07/22/2022,"306.43","308.55","300.12","301.99","57,127,719"
07/21/2022,"303.50","307.44","300.78","307.38","55,049,359"
07/20/2022,"298.73","304.24","297.93","303.03","67,769,430"
07/19/2022,"293.11","298.60","291.47","298.30","55,172,641"
07/18/2022,"294.72","296.16","288.20","289.40","59,519,578"
07/15/2022,"289.73","291.98","288.08","291.87","63,818,152"
07/14/2022,"282.99","287.56","279.80","286.67","63,741,840"
07/13/2022,"280.60","288.05","280.02","285.65","73,939,422"
07/12/2022,"290.32","292.28","284.61","286.24","55,797,090"
07/11/2022,"292.88","293.11","288.14","289.04","55,273,922"
07/08/2022,"292.08","296.75","291.12","295.35","59,895,480"
07/07/2022,"289.63","295.70","289.63","294.98","56,620,113"
07/06/2022,"287.35","290.95","285.59","288.80","63,194,719"
07/05/2022,"278.31","287.08","276.75","286.96","61,829,273"
07/01/2022,"278.95","282.53","277.03","282.13","56,675,113"
06/30/2022,"280.75","283.94","275.78","280.28","79,313,586"
06/29/2022,"283.40","285.34","280.84","283.80","57,302,727"
06/28/2022,"293.00","295.65","283.35","283.54","61,867,059"
06/27/2022,"296.00","296.58","291.29","292.45","54,151,449"
06/24/2022,"287.74","295.04","287.50","294.61","58,422,262"
06/23/2022,"283.21","285.72","280.31","284.85","57,457,801"
06/22/2022,"278.52","285.18","277.91","280.67","67,472,922"
06/21/2022,"278.75","283.45","278.64","281.08","51,633,738"
06/17/2022,"272.18","277.19","270.51","274.69","82,703,398"
06/16/2022,"275.59","276.06","269.28","271.39","81,910,305"
06/15/2022,"279.42","286.83","276.61","282.80","86,051,430"
06/14/2022,"277.66","278.66","273.34","275.91","64,697,520"
06/13/2022,"279.75","282.34","274.53","275.41","94,442,008"
06/10/2022,"293.65","294.87","288.38","288.84","85,963,453"
06/09/2022,"305.91","309.05","299.23","299.40","55,900,480"
06/08/2022,"309.05","311.72","306.77","307.64","38,342,059"
