,Date,Open,High,Low,Close,Volume
0,12/31/2019,211.62,212.76,211.2,212.61,"18,201,590"
1,12/30/2019,213.51,213.63,211.16,212.21,"21,829,910"
2,12/27/2019,214.55,214.56,213.04,213.61,"18,142,240"
3,12/26/2019,212.26,213.81,212.23,213.79,"17,159,311"
4,12/24/2019,211.97,212.09,211.44,211.92,"7,089,020"
5,12/23/2019,212.03,212.15,211.63,211.81,"23,798,670"
6,12/20/2019,211.81,212.52,211.27,211.71,"27,690,930"
7,12/19/2019,209.64,210.93,209.62,210.86,"17,892,061"
8,12/18/2019,209.6,210.13,209.33,209.55,"15,490,830"
9,12/17/2019,209.5,209.71,209.04,209.39,"16,034,650"
10,12/16/2019,208.5,209.53,208.48,209.27,"21,366,180"
11,12/13/2019,206.36,207.91,205.96,207.19,"32,517,820"
12,12/12/2019,204.77,207.32,204.49,206.51,"32,704,631"
13,12/11/2019,204.37,205.19,204.04,204.98,"18,897,760"
14,12/10/2019,204.17,204.88,203.44,203.9,"21,849,711"
15,12/09/2019,204.63,205.59,203.98,204.07,"14,032,180"
16,12/06/2019,204.25,205.15,204.15,205.0,"16,562,250"
17,12/05/2019,203.15,203.15,201.84,202.83,"15,038,790"
18,12/04/2019,202.49,202.91,202.14,202.43,"15,336,750"
19,12/03/2019,200.32,201.49,193.79,201.41,"31,425,400"
20,12/02/2019,205.11,205.18,201.78,203.0,"28,121,020"
21,11/29/2019,205.59,205.83,205.0,205.1,"9,854,553"
22,11/27/2019,205.13,206.05,204.89,206.04,"17,060,230"
23,11/26/2019,204.32,204.87,204.05,204.61,"14,812,920"
24,11/25/2019,202.67,204.26,202.67,204.22,"17,794,721"
25,11/22/2019,202.17,202.32,200.74,201.83,"17,197,020"
26,11/21/2019,201.94,202.07,201.07,201.7,"17,934,350"
27,11/20/2019,202.85,203.45,200.62,202.15,"36,706,281"
28,11/19/2019,203.84,203.84,202.59,203.37,"16,997,570"
29,11/18/2019,202.61,203.39,201.77,203.07,"18,408,801"
30,11/15/2019,202.61,202.91,202.0,202.91,"18,434,520"
31,11/14/2019,200.83,201.56,200.22,201.43,"17,055,689"
32,11/13/2019,200.84,201.78,200.71,201.59,"16,110,340"
33,11/12/2019,201.13,202.21,200.82,201.54,"14,778,280"
34,11/11/2019,200.23,201.04,199.94,200.96,"10,187,220"
35,11/08/2019,200.02,201.25,199.54,201.23,"15,272,520"
36,11/07/2019,200.76,201.72,199.85,200.43,"17,832,359"
37,11/06/2019,199.98,200.0,198.79,199.76,"19,725,490"
38,11/05/2019,200.35,200.55,199.55,200.21,"15,048,860"
39,11/04/2019,200.19,200.53,198.87,200.1,"19,015,859"
40,11/01/2019,197.93,198.88,197.63,198.87,"22,131,881"
41,10/31/2019,197.56,197.65,195.94,197.08,"26,801,801"
42,10/30/2019,196.42,197.32,195.29,196.99,"21,764,311"
43,10/29/2019,197.24,197.54,196.01,196.04,"18,569,680"
44,10/28/2019,196.57,197.83,196.55,197.57,"18,842,301"
