,Date,Open,High,Low,Close,Volume,1-month,3-month,6-month,1-year,2-year,3-year,5-year,7-year,10-year,20-year,30-year,Inflation
0,2019-12-31,211.62,212.76,211.2,212.61,"18,201,590",1.48,1.55,1.60,1.59,1.58,1.62,1.69,1.83,1.92,2.25,2.39,2.3
1,2019-12-30,213.51,213.63,211.16,212.21,"21,829,910",1.51,1.57,1.60,1.57,1.58,1.59,1.68,1.81,1.90,2.21,2.34,2.3
2,2019-12-27,214.55,214.56,213.04,213.61,"18,142,240",1.56,1.57,1.59,1.51,1.59,1.60,1.68,1.80,1.88,2.18,2.32,2.3
3,2019-12-26,212.26,213.81,212.23,213.79,"17,159,311",1.59,1.58,1.61,1.53,1.64,1.65,1.72,1.85,1.90,2.19,2.33,2.3
4,2019-12-24,211.97,212.09,211.44,211.92,"7,089,020",1.55,1.58,1.61,1.53,1.62,1.64,1.72,1.83,1.90,2.20,2.33,2.3
5,2019-12-23,212.03,212.15,211.63,211.81,"23,798,670",1.57,1.59,1.60,1.53,1.64,1.67,1.75,1.86,1.93,2.22,2.35,2.3
6,2019-12-20,211.81,212.52,211.27,211.71,"27,690,930",1.57,1.58,1.58,1.52,1.63,1.67,1.73,1.84,1.92,2.21,2.34,2.3
7,2019-12-19,209.64,210.93,209.62,210.86,"17,892,061",1.54,1.57,1.57,1.52,1.62,1.65,1.73,1.84,1.92,2.21,2.35,2.3
8,2019-12-18,209.6,210.13,209.33,209.55,"15,490,830",1.56,1.56,1.58,1.54,1.63,1.67,1.74,1.86,1.92,2.22,2.35,2.3
9,2019-12-17,209.5,209.71,209.04,209.39,"16,034,650",1.56,1.56,1.58,1.53,1.63,1.66,1.71,1.82,1.89,2.18,2.31,2.3
10,2019-12-16,208.5,209.53,208.48,209.27,"21,366,180",1.57,1.57,1.58,1.54,1.65,1.67,1.72,1.82,1.89,2.17,2.30,2.3
11,2019-12-13,206.36,207.91,205.96,207.19,"32,517,820",1.55,1.57,1.56,1.54,1.61,1.62,1.66,1.76,1.82,2.11,2.26,2.3
12,2019-12-12,204.77,207.32,204.49,206.51,"32,704,631",1.57,1.56,1.57,1.55,1.66,1.69,1.73,1.84,1.90,2.18,2.32,2.3
13,2019-12-11,204.37,205.19,204.04,204.98,"18,897,760",1.54,1.57,1.58,1.55,1.61,1.62,1.64,1.74,1.79,2.08,2.23,2.3
14,2019-12-10,204.17,204.88,203.44,203.9,"21,849,711",1.53,1.56,1.57,1.56,1.65,1.67,1.68,1.78,1.85,2.12,2.26,2.3
15,2019-12-09,204.63,205.59,203.98,204.07,"14,032,180",1.54,1.54,1.58,1.56,1.63,1.63,1.67,1.77,1.83,2.13,2.27,2.3
16,2019-12-06,204.25,205.15,204.15,205.0,"16,562,250",1.52,1.53,1.56,1.57,1.61,1.64,1.67,1.78,1.84,2.14,2.29,2.3
17,2019-12-05,203.15,203.15,201.84,202.83,"15,038,790",1.52,1.54,1.55,1.56,1.58,1.60,1.62,1.73,1.80,2.11,2.24,2.3
18,2019-12-04,202.49,202.91,202.14,202.43,"15,336,750",1.59,1.55,1.56,1.56,1.58,1.58,1.60,1.71,1.77,2.08,2.22,2.3
19,2019-12-03,200.32,201.49,193.79,201.41,"31,425,400",1.56,1.57,1.57,1.57,1.53,1.54,1.54,1.65,1.72,2.03,2.17,2.3
20,2019-12-02,205.11,205.18,201.78,203.0,"28,121,020",1.60,1.60,1.62,1.60,1.61,1.63,1.65,1.77,1.83,2.15,2.28,2.3
21,2019-11-29,205.59,205.83,205.0,205.1,"9,854,553",1.62,1.59,1.63,1.60,1.61,1.61,1.62,1.73,1.78,2.07,2.21,2.3
22,2019-11-27,205.13,206.05,204.89,206.04,"17,060,230",1.65,1.62,1.63,1.60,1.63,1.61,1.63,1.71,1.77,2.06,2.19,2.3
23,2019-11-26,204.32,204.87,204.05,204.61,"14,812,920",1.63,1.60,1.62,1.59,1.58,1.58,1.58,1.68,1.74,2.04,2.18,2.3
24,2019-11-25,202.67,204.26,202.67,204.22,"17,794,721",1.60,1.61,1.61,1.58,1.61,1.60,1.62,1.71,1.76,2.07,2.21,2.3
25,2019-11-22,202.17,202.32,200.74,201.83,"17,197,020",1.58,1.58,1.59,1.56,1.61,1.60,1.62,1.71,1.77,2.08,2.22,2.3
26,2019-11-21,201.94,202.07,201.07,201.7,"17,934,350",1.57,1.58,1.59,1.55,1.60,1.59,1.62,1.71,1.77,2.09,2.24,2.3
27,2019-11-20,202.85,203.45,200.62,202.15,"36,706,281",1.57,1.57,1.58,1.54,1.56,1.55,1.58,1.66,1.73,2.05,2.20,2.3
28,2019-11-19,203.84,203.84,202.59,203.37,"16,997,570",1.58,1.57,1.58,1.54,1.60,1.59,1.63,1.71,1.79,2.11,2.26,2.3
29,2019-11-18,202.61,203.39,201.77,203.07,"18,408,801",1.59,1.57,1.58,1.54,1.60,1.59,1.63,1.73,1.81,2.14,2.30,2.3
30,2019-11-15,202.61,202.91,202.0,202.91,"18,434,520",1.59,1.57,1.59,1.54,1.61,1.61,1.65,1.75,1.84,2.16,2.31,2.3
31,2019-11-14,200.83,201.56,200.22,201.43,"17,055,689",1.59,1.57,1.58,1.55,1.58,1.59,1.63,1.73,1.82,2.15,2.31,2.3
32,2019-11-13,200.84,201.78,200.71,201.59,"16,110,340",1.56,1.57,1.59,1.57,1.63,1.65,1.69,1.79,1.88,2.20,2.36,2.3
33,2019-11-12,201.13,202.21,200.82,201.54,"14,778,280",1.56,1.59,1.59,1.58,1.66,1.69,1.73,1.84,1.92,2.24,2.39,2.3
34,2019-11-11,200.23,201.04,199.94,200.96,"10,187,220",1.56,1.59,1.59,1.58,1.66,1.69,1.73,1.84,1.92,2.24,2.39,2.3
